Surveyor,GlobalID,Tree species scientific,Height of tree (m),DBH (cm),Density,x,y
Naibuka Pine June 2023,3d998d98-0762-4653-a041-805f4111a349,Rhizophora spp.,7.4,9.5,0.45,177.6541528,-17.54049067
Naibuka Pine June 2023,87f6da68-2190-42ad-b856-9674fe494045,Rhizophora spp.,8.6,9.9,0.45,177.6541363,-17.54050017
Naibuka Pine June 2023,cdf5d506-9408-4f6a-85ab-555c9109926f,Rhizophora spp.,4.9,6,0.45,177.654129,-17.540478
Naibuka Pine June 2023,18718952-5759-4565-91af-ab48b7214523,Rhizophora spp.,5.7,6,0.64,177.6541275,-17.54048033
Naibuka Pine June 2023,621be54c-b0d3-40b1-a22e-15111cdecf3b,Rhizophora spp.,4.9,6,0.45,177.6541297,-17.5404785
Naibuka Pine June 2023,48f8d3b8-f23b-4907-89c2-dfc986e1cb9c,Rhizophora spp.,11.5,16,0.45,177.6541408,-17.54054183
Naibuka Pine June 2023,e6450588-4b70-43fe-ac2f-2140f51df71f,Rhizophora spp.,13,14,0.33,177.65411,-17.54052233
Naibuka Pine June 2023,0e44ef83-4d37-4aef-b28f-7fbb84438035,Rhizophora spp.,13.1,13.5,0.33,177.6540932,-17.5405185
Naibuka Pine June 2023,af148d24-1aab-4c6f-acf9-9d408e6f5bd5,Rhizophora spp.,11.2,18.4,0.33,177.6540905,-17.54051983
Naibuka Pine June 2023,6ba4e924-3a9a-42c2-ac76-0372dad765ce,Rhizophora spp.,12.6,13.5,0.33,177.6541,-17.54054717
Naibuka Pine June 2023,fd2906e5-40fd-4b4d-bf44-ebff9450c7e2,Rhizophora spp.,14.3,12,0.33,177.6540553,-17.54054217
Naibuka Pine June 2023,b7dbfb34-6576-4d0e-a619-6c3d1b10b890,Rhizophora spp.,10,13.5,0.25,177.6540893,-17.54055083
Naibuka Pine June 2023,83632331-2769-435d-9a11-8cf396f6f1f7,Rhizophora spp.,7.3,8,0.33,177.6540667,-17.5405425
Naibuka Pine June 2023,c228dbed-dec5-420a-afcb-dfdbc7e94a8d,Rhizophora spp.,11.7,16,0.33,177.6540635,-17.54055817
Naibuka Pine June 2023,55198863-f311-4c5f-b93f-baee8fbd3448,Rhizophora spp.,5.3,8,0.33,177.6540677,-17.54058317
Naibuka Pine June 2023,a84d1b3c-b93e-4e4f-99c6-e3ca3604c1d4,Rhizophora spp.,9.4,7.5,0.33,177.6540942,-17.540581
Naibuka Pine June 2023,49f5321a-1a62-49f6-bb47-a4ec869c88f6,Rhizophora spp.,10.3,10.5,0.33,177.6541008,-17.540586
Naibuka Pine June 2023,a7c4e3ad-142c-4d68-8797-0afbd649658d,Rhizophora spp.,10.5,10.5,0.33,177.6540997,-17.54058167
Naibuka Pine June 2023,281e858d-72fe-4a54-8ea3-f42174f75740,Rhizophora spp.,9.6,10.1,0.45,177.6541207,-17.54057417
Naibuka Pine June 2023,9750e88b-fd01-469b-a56e-be3bace81cf9,Rhizophora spp.,11.2,20.1,0.33,177.654155,-17.54057033
Naibuka Pine June 2023,acaa2333-4776-4862-a2c4-7454c618eb68,Rhizophora spp.,10.3,17,0.33,177.6541878,-17.54059183
Naibuka Pine June 2023,10760ff1-01c4-4cd6-9221-4dbed6b0f0e0,Rhizophora spp.,5.7,7,0.33,177.6541742,-17.54057267
Team Tovuto Votu July 2023,a0ac0f77-48da-42f9-8bd3-f3895daa2904,Samanea saman,5.5,17.5,0.45,177.666806,-17.50228233
Team Tovuto Votu July 2023,14128bf8-661e-40fb-819c-8e505f34645b,Samanea saman,7.8,14,0.45,177.6667527,-17.5023445
Team Tovuto Votu July 2023,6be1c528-1ca8-4e11-b369-c473deca7162,Carica papaya,3.1,5.5,0.8,177.6667275,-17.50234067
Team Tovuto Votu July 2023,a1370cfd-cf7a-4326-86d9-4b9d2c8bed64,Samanea saman,12,58.2,0.8,177.6666553,-17.50224133
Team Tovuto Votu July 2023,7e9890a6-3bf7-415c-84c4-513f77371a52,Samanea saman,16.5,17.5,0.8,177.6666383,-17.50227367
Team Tovuto Votu July 2023,2ccf8137-2631-4ff9-8ea2-b56f1bb02ac9,Musa acuminata,4.7,11.7,0.8,177.6666325,-17.5022385
Team Tovuto Votu July 2023,00c6489b-2837-4ed8-bbfc-1be83c1cb57d,Inocarpus fagifer,10.1,22.6,0.8,177.6666183,-17.5022085
Team Tovuto Votu July 2023,22a950ae-51d9-410b-a1e5-8513071a4f56,Samanea saman,17,181.8,0.8,177.6665922,-17.50215367
Team Tovuto Votu July 2023,12a4649f-df2a-4053-91e8-2569e71077d6,Inocarpus fagifer,4.5,8.3,0.8,177.6666063,-17.50216533
Team Tovuto Votu July 2023,cda01cda-679a-486b-bec6-5509bdad7885,Samanea saman,5.5,8.2,0.8,177.6666215,-17.50215433
Team Tovuto Votu July 2023,9efe1a8b-1c29-48b6-a8ce-a5f7cf7dac29,Carica papaya,3.9,5.5,0.8,177.6666635,-17.502232
Team Tovuto Votu July 2023,b07fd6c9-725a-4989-b898-9fc3cfaaf1ae,Carica papaya,3.6,5.3,0.8,177.6666707,-17.50225383
Team Tovuto Votu July 2023,f5238d21-9ea2-455a-b11f-f71b4b0ee9fa,Rhizophora spp.,17.5,61.5,0.8,177.6667667,-17.5013195
Team Tovuto Votu July 2023,f74a7596-8a43-4986-853d-d6301ea0ae40,Rhizophora spp.,13.9,24.8,0.45,177.666754,-17.5013375
Team Tovuto Votu July 2023,ec495d23-71de-4b65-aa55-84c6139f64bd,Rhizophora spp.,6.4,8.7,0.45,177.6667483,-17.50133783
Team Tovuto Votu July 2023,84da4b20-792e-432c-835f-770b592c39c4,Rhizophora spp.,5.6,7.5,0.45,177.6667138,-17.50131783
Team Tovuto Votu July 2023,a280fa30-32e4-444c-9bb5-90baceedec34,Rhizophora spp.,6.6,7.9,0.45,177.6667288,-17.50130817
Team Tovuto Votu July 2023,8346ea4c-c343-4446-8066-9910446295a9,Rhizophora spp.,6.4,6.4,0.45,177.6667427,-17.50128217
Team Tovuto Votu July 2023,dec4c854-cd3d-4977-a921-794fb44e9212,Rhizophora spp.,5.1,6.2,0.45,177.6667565,-17.50128617
Team Tovuto Votu July 2023,04c64b0e-f324-46f1-b6ff-b7ea32e0bfe0,Rhizophora spp.,5.4,6.2,0.33,177.6667655,-17.50125783
Team Tovuto Votu July 2023,80e8cc5b-dfe1-4b15-97ba-640edf5aaa44,Rhizophora spp.,16.2,28.6,0.45,177.6667587,-17.50126833
Team Tovuto Votu July 2023,fdb9a3e4-6758-4b92-af00-430101915646,Rhizophora spp.,5.5,13,0.33,177.6667443,-17.50124967
Team Tovuto Votu July 2023,dbf4b384-207d-4c63-ae98-9747065528e8,Rhizophora spp.,17.5,48.6,0.33,177.6668232,-17.50126783
Team Tovuto Votu July 2023,281cc86b-edab-46e4-813b-93043423f603,Rhizophora spp.,17.9,39.7,0.33,177.6667958,-17.5013185
Team Tovuto Votu July 2023,99042e93-ad41-4d7d-86d6-13be5819be23,Rhizophora spp.,16.4,29.5,0.33,177.6668772,-17.50130233
Team Tovuto Votu July 2023,71fcf590-b974-4a38-9749-667c6069051a,Rhizophora spp.,7.1,13,0.33,177.6668548,-17.50134017
Team Tovuto Votu July 2023,c8928c88-628d-42e2-a474-59d3e95721cb,Rhizophora spp.,16.2,29.2,0.33,177.666847,-17.50138867
Team Tovuto Votu July 2023,a14bc6ec-5bd3-45e2-b4a4-ef9b9601bf35,Rhizophora spp.,16.9,28.4,0.33,177.6668467,-17.50138483
Team Tovuto Votu July 2023,155648b2-563b-4b12-989b-337b66098673,Rhizophora spp.,15.3,31,0.33,177.666824,-17.50139767
Team Tovuto Votu July 2023,72c678b6-5d80-46da-a62a-6b9658ed0fe4,Rhizophora spp.,15.9,30.5,0.33,177.666833,-17.50142733
Team Tovuto Votu July 2023,ddf71f39-57be-4f0a-bc76-add1c501e836,Rhizophora spp.,5.2,7.5,0.33,177.6668003,-17.501422
Team Tovuto Votu July 2023,027151e7-c452-4b36-b7bb-afffa9ea5bc2,Rhizophora spp.,5.6,8,0.33,177.6668015,-17.50141367
Team Tovuto Votu July 2023,b39ffd4a-ca49-4eec-b53e-8e261b73deec,Rhizophora spp.,6.6,7.366,0.33,177.6667682,-17.5014175
Team Tovuto Votu July 2023,8a229972-315c-40d1-a3d4-2c73eecf71a9,Rhizophora spp.,6.4,35.5,0.33,177.6667173,-17.50136867
Team Tovuto Votu July 2023,4313413b-3013-48b5-bf2c-fb3041e91e5c,Rhizophora spp.,4.3,6.143,0.33,177.6667365,-17.50140717
Team Tovuto Votu July 2023,601a10af-da50-4bad-8c58-73faa90fad4c,Bruguiera spp.,14,90.5,0.33,177.666662,-17.5023365
Team Tovuto Votu July 2023,16496030-8602-4808-afc9-630ec85c617b,Bruguiera spp.,13,81.5,0.33,177.666666,-17.5023375
Team Tovuto Votu July 2023,d675448b-2abe-415a-bbe5-b76dcce5ec40,Bruguiera spp.,12.5,68.7,0.33,177.6666792,-17.50234167
Team Tovuto Votu July 2023,255c3c8c-d6cd-40af-aec1-920c7053d67a,Bruguiera spp.,9.7,154.5,0.33,177.6655052,-17.50678267
Team Tovuto Votu July 2023,d6a46424-ec47-41c3-8dc9-013c78009783,Bruguiera spp.,4.3,16,0.45,177.6654568,-17.50677617
Team Tovuto Votu July 2023,c3f753b6-1c3e-4c4f-a029-704cbd42d733,Rhizophora spp.,9,22.9,0.33,177.6654282,-17.50677717
Team Tovuto Votu July 2023,22a4a72d-b78c-41c0-8508-68f02c4f3852,Rhizophora spp.,6.6,22.9,0.33,177.6654133,-17.50677617
Team Tovuto Votu July 2023,abfd00b0-107d-4a37-83c2-eacbc188ed0d,Rhizophora spp.,6.3,23,0.33,177.6654025,-17.50679
Team Tovuto Votu July 2023,72c8395f-8411-4c7d-ab8f-6c7c90279c73,Rhizophora spp.,10.2,9.5,0.33,177.665449,-17.50672867
Team Tovuto Votu July 2023,b8d9f96c-6764-49b3-a2f6-947f88a8e60b,Rhizophora spp.,11,60.2,0.8,177.6654503,-17.506762
Team Tovuto Votu July 2023,dd91660e-0671-4b05-9d2a-3f8843b723b1,Rhizophora spp.,4.5,11,0.8,177.6654918,-17.50676117
Team Tovuto Votu July 2023,14e770ab-324f-475b-ae26-d422cdce8123,Rhizophora spp.,5.5,19.5,0.8,177.6654847,-17.506745
Team Tovuto Votu July 2023,639fd4bf-0473-4a57-8e46-8b3e71ad8aa7,Rhizophora spp.,8.9,45.2,0.8,177.665517,-17.50677983
Team Tovuto Votu July 2023,555b652d-45f2-44c7-b4b4-f65bea155bc0,Rhizophora spp.,4,18.3,0.8,177.6649713,-17.5069715
Team Tovuto Votu July 2023,de9affe4-85cd-4a9b-9304-c08098519900,Rhizophora spp.,4,8.3,0.8,177.6649907,-17.5069105
Team Tovuto Votu July 2023,dd16c9cd-eb72-4d6e-981b-2cc96c2205bc,Rhizophora spp.,5.8,8.8,0.8,177.6649712,-17.50694083
Team Tovuto Votu July 2023,a9a35bbb-f794-4ba3-9543-92b7a344e00b,Rhizophora spp.,6.1,12,0.8,177.6649687,-17.50692183
Team Tovuto Votu July 2023,83042ee7-a9b1-4a64-82fc-c24de1dabbe1,Rhizophora spp.,9.6,31.4,0.8,177.665009,-17.50693183
Team Tovuto Votu July 2023,bf555035-3ecc-4b65-82de-5bfd59375f5a,Rhizophora spp.,9.6,25.4,0.8,177.665037,-17.5068765
Team Tovuto Votu July 2023,4bc07ab5-2de7-417d-9697-e922424b321d,Rhizophora spp.,12.4,23,0.8,177.6650938,-17.50689433
Mere Nick Nailaga July 2022,190f8224-505b-4183-bf3b-956e18156b79,Mangifera indica,7.9,28.5,0.8,177.6815035,-17.54280067
Mere Nick Nailaga July 2022,1a50855f-6cbd-4308-8695-ddb25a53024b,Mangifera indica,8.6,26.8,0.8,177.6815155,-17.54284433
Mere Nick Nailaga July 2022,f56a0e91-cb82-475d-b832-a2666e2fc8f7,Mangifera indica,4.2,19,0.8,177.681528,-17.54284117
Mere Nick Nailaga July 2022,b60b71bf-8dfc-40fd-8735-083a632e85c2,Mangifera indica,6.4,22.5,0.8,177.6815458,-17.54287467
Mere Nick Nailaga July 2022,dd331a46-1c5f-4dc6-8b2b-5c8b0a96c457,Bruguiera spp.,5.5,5.2,0.8,177.6815447,-17.54285433
Mere Nick Nailaga July 2022,d58785c1-05b5-458b-af8d-ab7882fff585,Bruguiera spp.,5.8,5.8,0.8,177.6815367,-17.54286533
Mere Nick Nailaga July 2022,8060273b-b892-47e3-a236-a245d9e353e2,Bruguiera spp.,4.8,9.6,0.33,177.6815285,-17.54282483
Mere Nick Nailaga July 2022,84f67e15-56fa-46df-9fa9-788ce6550795,Bruguiera spp.,2.1,15,0.64,177.681533,-17.54280317
Mere Nick Nailaga July 2022,c918aadf-5b15-4512-9229-4752efbea5aa,Samanea saman,18,Rhizophora spp.,0.64,177.6891868,-17.56907667
Mere Nick Nailaga July 2022,eacd6d65-5b44-4e06-8f6b-583db2d847db,Samanea saman,14.7,Rhizophora spp.,0.64,177.6892662,-17.56895433
Mere Nick Nailaga July 2022,7359c729-1aa2-4827-9777-9927a9909ef3,Bruguiera spp.,4.3,5,0.64,177.681803,-17.53389983
Mere Nick Nailaga July 2022,f8d9237f-3d82-45fc-8f71-4c5739e13d18,Rhizophora spp.,5.6,12.3,0.64,177.6817633,-17.53395817
Mere Nick Nailaga July 2022,5d365c14-32d4-4a5f-b5f0-bd6b89f4608d,Rhizophora spp.,9.7,25,0.64,177.6817707,-17.53400017
Mere Nick Nailaga July 2022,9dab40cf-5753-4d37-9a6a-28cbf1d56347,Samanea saman,13.3,271.5,0.45,177.6815948,-17.53442133
Mere Nick Nailaga July 2022,aea74c2c-d3ad-4ea8-9172-0fd5cc46bd96,Samanea saman,12.4,275.5,0.45,177.6816182,-17.53444083
Mere Nick Nailaga July 2022,9029c02c-0760-4fe7-95a4-cb63ef572755,Samanea saman,12.4,275.5,0.8,177.6816042,-17.5344185
Mere Nick Nailaga July 2022,32a88294-bd74-4706-8fc0-4b4df76c3df6,Mangifera indica,4.8,37,0.8,177.681616,-17.5343845
Mere Nick Nailaga July 2022,281adc32-9d5c-49e0-85e3-60bae2e55997,Carica papaya,4.7,12.5,0.8,177.6814507,-17.53481267
Mere Nick Nailaga July 2022,6cd31c63-80fd-484c-bcd9-f62aef297d4b,Carica papaya,3.6,13.5,0.8,177.681469,-17.5347545
Mere Nick Nailaga July 2022,93ddbced-a128-45df-9e50-118d29bdde4d,Carica papaya,5.9,14.2,0.8,177.6814572,-17.53484133
Mere Nick Nailaga July 2022,0cb93c1d-74e2-408c-b1f8-3a583e1dfaf5,Carica papaya,4.2,15,0.45,177.681433,-17.534849
Mere Nick Nailaga July 2022,e1a8b07f-7e85-42c1-aeff-b8474ec628f2,Samanea saman,12.5,142,0.33,177.6814413,-17.5348895
Mere Nick Nailaga July 2022,f5f233bc-8309-4977-8a87-f46183106902,Samanea saman,13.4,195,0.33,177.6814783,-17.534814
Mere Nick Nailaga July 2022,a68c97fe-7d52-4842-8f89-86b36444b709,Carica papaya,5.8,14.5,0,177.6814267,-17.53488033
Mere Nick Nailaga July 2022,ce55d7f2-f8f0-4d6f-bdff-2c425ca75c46,Carica papaya,4.7,9,0,177.681429,-17.53487917
Mere Nick Nailaga July 2022,07133b46-ee19-467a-b2ce-97ff88ed828c,Carica papaya,4.7,14,0,177.6814173,-17.53489467
Mere Nick Nailaga July 2022,73e200cb-af58-4f79-a50b-9cc072dde90d,Carica papaya,4.3,7.5,0.33,177.6814358,-17.534907
Mere Nick Nailaga July 2022,b6535a45-1cd1-441d-9666-725b934bf4b6,Carica papaya,3,9.5,0.8,177.6814312,-17.534897
Mere Nick Nailaga July 2022,a13eb650-314e-4a3e-8e15-a34ac5f591d0,Bruguiera spp.,6.5,19.5,0.8,177.6671533,-17.50810317
Mere Nick Nailaga July 2022,21888591-0861-4f7e-b242-41136f01ce87,Bruguiera spp.,5.5,38.3,0.8,177.6671757,-17.50808583
Mere Nick Nailaga July 2022,0210ccf0-287b-4d8f-baff-db289ce7dbce,Samanea saman,9.7,41,0.8,177.6672067,-17.5080275
Mere Nick Nailaga July 2022,8413b86f-5c9d-4156-8115-8ec1b52115d0,Samanea saman,2,36,0.33,177.6671808,-17.50804567
Mere Nick Nailaga July 2022,706068a6-8a92-4586-af28-ff70da0cfb87,Samanea saman,8.7,108,0.33,177.6672775,-17.50804683
Mere Nick Nailaga July 2022,8b5072c9-ae65-43da-a07a-518f6413aceb,Samanea saman,8.4,39.5,0.33,177.6672753,-17.50804083
Mere Nick Nailaga July 2022,e3b52112-b9f0-4151-8e67-b734a16e9153,Bruguiera spp.,6.1,11.8,0.45,177.667247,-17.50801067
Mere Nick Nailaga July 2022,b62e02ae-4f82-4baf-adc8-4ba0dfa11199,Samanea saman,6.3,57,0.45,177.667389,-17.50798267
Mere Nick Nailaga July 2022,811d56ce-d8f8-4c23-85eb-da53cb211477,Samanea saman,7.6,63.8,0.45,177.6673845,-17.50797983
Mere Nick Nailaga July 2022,b5bd95cf-5b69-4c8e-903d-cbc979b0f12a,Samanea saman,8.1,17.5,0.45,177.6674403,-17.50795367
Mere Nick Nailaga July 2022,9813bd2e-f148-436c-8025-84890af643f1,Samanea saman,7.5,33.9,0.45,177.6674657,-17.50796167
Mere Nick Nailaga July 2022,cf1a5543-aedb-46cf-8c0c-921e56d431e1,Inocarpus fagifer,7,23.1,0.45,177.6674142,-17.50796583
Mere Nick Nailaga July 2022,fa3db5e4-442b-46e4-b977-f5b3bda9bb42,Samanea saman,9.6,36.7,0.33,177.667407,-17.50795283
Mere Nick Nailaga July 2022,c98c7a70-65b4-42c1-91c5-61179a627989,Samanea saman,5.3,9.2,0,177.667452,-17.507904
Mere Nick Nailaga July 2022,31201b9b-59e2-41aa-9342-63eca19316dd,Samanea saman,4.5,8,0,177.667489,-17.5079205
Mere Nick Nailaga July 2022,2b4f8b2b-81aa-4e9e-80d9-5386b37d28d5,Inocarpus fagifer,7.4,24.4,0,177.667471,-17.50786983
Mere Nick Nailaga July 2022,a23cf9dd-ef46-49f9-82a3-9af24ca57e9d,Samanea saman,9.3,40.7,0,177.6674787,-17.50791233
Mere Nick Nailaga July 2022,a38d071a-5944-4297-b1b3-ee07ce67514c,Rhizophora spp.,8.9,23.4,0,177.6674225,-17.50791567
Mere Nick Nailaga July 2022,9bc10012-24ab-49cf-9918-f76088e39c00,Rhizophora spp.,4.4,11,0,177.6674375,-17.5078945
Mere Nick Nailaga July 2022,23920f28-f1ae-4146-94f2-78f74fce1b6c,Rhizophora spp.,8.1,30.7,0,177.6674827,-17.50788017
Mere Nick Nailaga July 2022,8e65e0ed-4ce2-4758-978b-c25cb64fb0cf,Bruguiera spp.,5.1,38,0,177.6674885,-17.50786967
Mere Nick Nailaga July 2022,7d79842b-8734-47c1-b57c-6ddcd10a9c9f,Rhizophora spp.,10.1,82,0,177.6675188,-17.50780917
Mere Nick Nailaga July 2022,393923fe-a54d-49c2-88d7-b940a55cd073,Rhizophora spp.,4.9,11.9,0,177.6676102,-17.50778033
Mere Nick Nailaga July 2022,688c973b-e6bd-4125-9893-7fca7e7cd57c,Rhizophora spp.,5.3,14.5,0,177.6676415,-17.50773833
Mere Nick Nailaga July 2022,8f29785e-fc66-4d92-a795-85d8cb3bdce9,Rhizophora spp.,9.1,19.5,0,177.6676432,-17.50772583
Mere Nick Nailaga July 2022,5e688bd5-c470-486a-ade0-68fa3a7941bd,Rhizophora spp.,8.9,23.7,0,177.6676557,-17.50772683
Mere Nick Nailaga July 2022,430e82a9-d7fa-43e9-8ec5-6a3564815d6c,Rhizophora spp.,6.1,16.2,0,177.6676792,-17.50772067
Mere Nick Nailaga July 2022,888b1533-46ed-47f7-aee1-e68f251eac8f,Rhizophora spp.,9.3,24.9,0,177.6676923,-17.50773133
Mere Nick Nailaga July 2022,3b177841-78e9-4df3-999e-ae3736420ba9,Rhizophora spp.,9.9,33.8,0,177.6677097,-17.50774483
Mere Nick Nailaga July 2022,f32adf95-c4cd-4231-8a41-8d7e18a0cd65,Rhizophora spp.,9.6,27.6,0,177.6677325,-17.50771867
Mere Nick Nailaga July 2022,6a6ce050-ef2b-4d08-b47d-7a35537e982f,Spathodea campanulata,9.9,22.4,0.33,177.6677385,-17.50765033
Mere Nick Nailaga July 2022,4094effa-386f-4774-9d09-f928a3edfce5,Spathodea campanulata,10.6,22.8,0.33,177.6677642,-17.507646
Mere Nick Nailaga July 2022,a4f6c046-518e-4901-9c19-efe6b4698a30,Spathodea campanulata,11.4,26.4,0,177.6677922,-17.50760883
Mere Nick Nailaga July 2022,43cc329e-9d71-47b3-8ffc-3939235d51dc,Spathodea campanulata,8.4,19.9,0,177.6677898,-17.50761917
Mere Nick Nailaga July 2022,bb414432-14b3-4971-8d59-5d4870f7858e,Spathodea campanulata,3.7,36.2,0,177.667776,-17.50760667
Mere Nick Nailaga July 2022,b361a6a3-d583-4973-9100-4c2f379606d5,Rhizophora spp.,10.8,49,0,177.6678502,-17.50757983
Mere Nick Nailaga July 2022,2941d3d7-d00d-4b83-9235-a84314b26c5a,Rhizophora spp.,9.1,30.8,0.45,177.6678562,-17.5075155
Mere Nick Nailaga July 2022,25c78492-f21d-48f8-bd4d-7fdeacde87dd,Bruguiera spp.,7.1,35.6,0.64,177.6679128,-17.50751967
Mere Nick Nailaga July 2022,f9334089-2ead-4ecc-9a01-5b00f5ec07fe,Morinda citrifolia,4.6,38,0.64,177.6679328,-17.50741333
Mere Nick Nailaga July 2022,a5a55208-4cc8-4dd0-96b2-f3b93b73be21,Samanea saman,9.71,32.8,0.45,177.6680225,-17.5074515
Mere Nick Nailaga July 2022,8f2bf454-a2a0-40b0-a452-4068f4ece73a,Samanea saman,5,12,0,177.6679367,-17.50748583
Mere Nick Nailaga July 2022,342d6787-5f22-417b-8d2d-d43ecf086c11,Samanea saman,7.4,36.6,0,177.667946,-17.507519
Mere Nick Nailaga July 2022,2aa02d45-6624-428b-9723-ed11351794e7,Samanea saman,7.5,15.4,0,177.6679525,-17.50751483
Mere Nick Nailaga July 2022,5c043361-7a90-48c1-bd51-b62a37b79354,Samanea saman,5.8,13.1,0,177.6679648,-17.50752233
